t,i,eval_success,eval_loss,drift,delayed
13,1,69.2,0.9009859758615494,,false
13,2,31.2,1.2444036209583282,,false
13,7,90.0,0.442793136537075,,false
14,8,83.6,0.7661082729697227,,false
14,6,84.0,0.8053221523761749,,true
14,3,81.6,0.6581137984991073,,true
14,0,55.4,2.4346867430210115,u,true
14,9,83.4,0.7485147154331208,,false
14,1,42.4,1.4552112424373627,,false
14,2,34.4,1.3329219615459442,,false
14,5,82.2,0.8601013386249542,,false
15,1,36.8,1.6492453348636626,,false
15,2,38.0,1.1719965291023255,u,false
15,0,47.8,2.8380115747451784,,true
15,6,78.6,1.091995777785778,,true
15,7,79.0,1.1448815040290357,,false
15,9,79.4,1.0663571792840958,,false
15,5,79.2,1.012407305240631,,false
15,4,77.4,1.0537554043531419,,false
16,7,76.2,1.1448851841688157,,false
16,6,75.8,1.0820684453845024,,true
16,4,74.4,1.090063636302948,,false
16,3,66.2,1.3710435181856155,,true
16,9,75.8,1.2062697222828864,,false
16,0,53.0,2.718869981169701,,true
16,1,34.0,1.9070246052742004,,false
16,2,33.4,1.3621374356746674,u,false
17,7,76.6,1.2228914588689803,,false
17,6,77.0,1.1084906435012818,,true
17,5,76.2,1.0960880920290947,,false
17,2,32.8,1.3509115123748778,u,false
17,0,52.4,2.873038297891617,,true
17,3,72.2,1.1785369777679444,,true
17,9,77.4,1.290932196676731,,false
17,4,77.6,0.9677656528353691,,false
18,9,76.0,0.8240400949120521,,false
18,2,35.2,1.3035936295986175,u,false
18,7,77.0,1.0114182928204536,,false
18,1,36.2,1.6214891600608825,,false
18,5,77.4,1.1516197465360165,,false
18,6,77.0,1.1281642191112042,,true
18,8,75.2,1.1997621069848536,,false
18,0,50.8,2.6862183308601377,,true
19,7,75.0,1.236383551955223,,false
19,3,72.4,1.2252120220661162,,true
19,9,76.2,1.093280594944954,,false
19,0,47.2,2.75336940407753,,true
19,1,37.4,1.5717192697525024,,false
19,6,76.0,1.1343991687893868,,true
19,5,75.8,1.0847507029771806,,false
19,4,76.4,1.2117036882042884,,false
20,8,76.2,1.0373903748393059,,false
20,4,75.8,1.1002846941351891,,false
20,0,51.0,2.819249526262283,,true
20,3,72.4,1.0142233282327653,,true
20,7,78.8,1.2920491653680801,,false
20,1,35.4,1.748301429748535,,false
20,9,76.6,1.0012188348174096,,false
20,2,34.0,1.3260690331459046,u,false
21,2,33.0,1.3604807889461517,,false
21,9,77.0,1.115348896086216,,false
21,6,77.4,1.0326446270942689,,true
21,3,74.4,1.1169000265002251,,true
21,7,78.4,1.271870792210102,,false
21,4,76.0,0.9416854691505432,,false
21,8,77.6,1.0705530402064323,,false
21,1,33.8,1.6002366936206818,,false
22,5,74.2,1.2681126302480699,,false
22,0,52.0,2.784175114631653,,true
22,1,33.6,1.9065382206439971,,false
22,6,73.6,1.321232520341873,,true
22,9,73.8,1.1012477952241897,,false
22,8,74.6,1.2679759389162064,,false
22,7,74.2,1.2468636184930801,,false
22,2,32.2,1.3749035322666168,,false
23,4,76.8,0.9739587223529815,,false
23,2,33.6,1.3446852254867554,,false
23,0,50.0,2.7442143428325654,,true
23,3,72.2,1.0273125731945039,,true
23,7,78.6,1.105727195739746,,false
23,6,77.0,1.062695413529873,,true
23,5,77.8,0.9575871089100838,,false
23,1,32.8,1.8870605874061583,,false
24,1,33.6,1.79573202252388,,false
24,2,34.6,1.3415446054935456,,false
24,8,77.2,1.1095851364731788,,false
24,5,77.2,1.2037764039635659,,false
24,0,48.2,3.009622312784195,,true
24,3,73.0,0.9318594843149185,,true
24,9,77.2,1.1283065801858903,,false
24,7,76.2,0.9923620188236236,,false
25,4,79.8,1.0227445727586746,,false
25,1,37.6,1.6777950465679168,,false
25,7,78.4,0.8777686673402786,,false
25,6,77.2,1.0684988060593605,,true
25,5,80.6,1.0603922510147095,,false
25,3,74.2,1.0748682367801665,,true
25,9,80.0,0.9804124090075493,,false
25,0,50.0,2.7661509227752688,,true
26,5,74.4,1.0394233000278472,,false
26,9,74.8,1.0436747965216637,,false
26,1,37.2,1.6302221989631653,,false
26,4,77.8,1.030509774684906,,false
26,0,50.4,2.9725408542156218,,true
