t,i,eval_success,eval_loss,drift,delayed
39,1,52.2,1.098452734351158,,false
39,5,54.4,2.232267142534256,,false
39,7,54.2,1.8753405570983888,,false
39,0,52.0,1.074239572584629,u,true
39,2,52.2,1.06410728931427,,false
39,9,54.2,1.9470949923992158,,false
40,2,51.0,1.0681324875354767,,false
40,9,57.6,1.9369819802045822,,false
40,8,56.8,1.75988654255867,,false
40,6,53.0,2.615493153333664,,true
40,7,53.4,2.0010373860597612,,false
40,4,55.6,2.2607858991622924,,false
40,5,55.4,1.9556449162960052,,false
40,1,52.6,1.0536876124143602,,false
41,8,60.2,2.007203420996666,,false
41,7,58.6,1.9753490805625915,,false
41,6,60.6,1.6500693374872208,,true
41,3,51.0,1.0653426057100297,,true
41,1,53.8,1.038434442281723,,false
41,9,58.8,2.0813443648815153,,false
41,4,57.6,2.5446901226043703,,false
41,2,52.2,1.084868910908699,,false
42,5,58.6,1.8888247001171112,,false
42,2,48.8,1.1562843537330627,,false
42,7,56.4,1.9297757744789124,,false
42,9,58.0,1.799504029750824,,false
42,1,50.8,1.1134808772802354,,false
42,6,59.2,1.9533709394931793,,true
42,8,58.0,1.9813815516233444,,false
42,3,48.6,1.1279397904872894,,true
43,5,57.0,1.6753214192390442,,false
43,4,56.4,1.8098342442512512,,false
43,0,47.2,1.155411661863327,,true
43,6,56.8,2.2515298521518705,,true
43,9,59.0,2.1126946794986723,,false
43,3,47.6,1.157170752286911,,true
43,2,46.6,1.2047890400886536,,false
43,1,50.8,1.0917779970169068,,false
44,5,54.6,1.795446493625641,,false
44,0,51.4,1.0625561290979386,,true
44,7,55.8,2.43359188079834,,false
44,2,51.6,1.1173942297697068,,false
44,4,56.0,2.4729077076911925,,false
44,3,51.6,1.0484233742952347,,true
44,9,54.4,2.0508525156974793,,false
44,6,55.8,1.878372482061386,,true
45,3,52.0,1.1063797497749328,,true
45,6,56.8,2.6177307522296904,,true
45,5,57.8,1.5708586955070496,,false
45,0,51.6,1.0869564485549927,,true
45,1,52.8,1.0737108451128006,,false
45,9,54.8,2.075793740749359,,false
